k,config,n,steps_per_sec,iters,warmup,repeats
8,"articulated-body kernel, eval every 32",8192,83058274,64,8,3
8,"articulated-body kernel, eval every 32",16384,120319692,64,8,3
8,"articulated-body kernel, eval every 32",32768,165341090,64,8,3
8,"articulated-body kernel, eval every 32",65536,184284347,64,8,3
8,"mass-matrix kernel (v10), eval every 32",1,8685,64,8,3
8,"mass-matrix kernel (v10), eval every 32",2,16683,64,8,3
8,"mass-matrix kernel (v10), eval every 32",4,34164,64,8,3
8,"mass-matrix kernel (v10), eval every 32",8,71190,64,8,3
8,"mass-matrix kernel (v10), eval every 32",16,142424,64,8,3
8,"mass-matrix kernel (v10), eval every 32",32,280936,64,8,3
8,"mass-matrix kernel (v10), eval every 32",64,560526,64,8,3
8,"mass-matrix kernel (v10), eval every 32",128,1122595,64,8,3
8,"mass-matrix kernel (v10), eval every 32",256,2259979,64,8,3
8,"mass-matrix kernel (v10), eval every 32",512,4587910,64,8,3
8,"mass-matrix kernel (v10), eval every 32",1024,9153552,64,8,3
8,"mass-matrix kernel (v10), eval every 32",2048,18100742,64,8,3
8,"mass-matrix kernel (v10), eval every 32",4096,34843167,64,8,3
8,"mass-matrix kernel (v10), eval every 32",8192,65067982,64,8,3
8,"mass-matrix kernel (v10), eval every 32",16384,75869689,64,8,3
8,"mass-matrix kernel (v10), eval every 32",32768,85394864,64,8,3
8,"mass-matrix kernel (v10), eval every 32",65536,94146125,64,8,3
16,numpy (articulated body),1,394,64,8,3
16,numpy (articulated body),2,786,64,8,3
16,numpy (articulated body),4,1578,64,8,3
16,numpy (articulated body),8,3025,64,8,3
16,numpy (articulated body),16,6271,64,8,3
16,numpy (articulated body),32,12439,64,8,3
16,numpy (articulated body),64,24312,64,8,3
16,numpy (articulated body),128,46542,64,8,3
16,numpy (articulated body),256,81471,64,8,3
16,numpy (articulated body),512,137781,64,8,3
16,numpy (articulated body),1024,228097,64,8,3
16,numpy (articulated body),2048,349717,64,8,3
16,numpy (articulated body),4096,425905,64,8,3
16,numpy (articulated body),8192,427281,64,8,3
16,numpy (articulated body),16384,287414,64,8,3
16,numpy (articulated body),32768,395936,64,8,3
16,numpy (articulated body),65536,311783,64,8,3
16,"mlx compiled (articulated body), eval every 32",1,76,64,8,3
16,"mlx compiled (articulated body), eval every 32",2,139,64,8,3
16,"mlx compiled (articulated body), eval every 32",4,278,64,8,3
16,"mlx compiled (articulated body), eval every 32",8,657,64,8,3
16,"mlx compiled (articulated body), eval every 32",16,1545,64,8,3
16,"mlx compiled (articulated body), eval every 32",32,3721,64,8,3
16,"mlx compiled (articulated body), eval every 32",64,7792,64,8,3
16,"mlx compiled (articulated body), eval every 32",128,15034,64,8,3
16,"mlx compiled (articulated body), eval every 32",256,29543,64,8,3
16,"mlx compiled (articulated body), eval every 32",512,56718,64,8,3
16,"mlx compiled (articulated body), eval every 32",1024,110402,64,8,3
16,"mlx compiled (articulated body), eval every 32",2048,211511,64,8,3
16,"mlx compiled (articulated body), eval every 32",4096,413393,64,8,3
16,"mlx compiled (articulated body), eval every 32",8192,780006,64,8,3
16,"mlx compiled (articulated body), eval every 32",16384,1441649,64,8,3
16,"mlx compiled (articulated body), eval every 32",32768,2726264,64,8,3
16,"mlx compiled (articulated body), eval every 32",65536,3576896,64,8,3
16,"articulated-body kernel, eval every step",1,3384,64,8,3
16,"articulated-body kernel, eval every step",2,6983,64,8,3
16,"articulated-body kernel, eval every step",4,13784,64,8,3
16,"articulated-body kernel, eval every step",8,27257,64,8,3
16,"articulated-body kernel, eval every step",16,55493,64,8,3
16,"articulated-body kernel, eval every step",32,108364,64,8,3
16,"articulated-body kernel, eval every step",64,219765,64,8,3
16,"articulated-body kernel, eval every step",128,419933,64,8,3
16,"articulated-body kernel, eval every step",256,840062,64,8,3
16,"articulated-body kernel, eval every step",512,1630337,64,8,3
16,"articulated-body kernel, eval every step",1024,3153751,64,8,3
16,"articulated-body kernel, eval every step",2048,6507667,64,8,3
16,"articulated-body kernel, eval every step",4096,12159000,64,8,3
16,"articulated-body kernel, eval every step",8192,20648271,64,8,3
16,"articulated-body kernel, eval every step",16384,30695870,64,8,3
16,"articulated-body kernel, eval every step",32768,40663922,64,8,3
16,"articulated-body kernel, eval every step",65536,53120052,64,8,3
16,"articulated-body kernel, eval every 32",1,10323,64,8,3
16,"articulated-body kernel, eval every 32",2,21748,64,8,3
16,"articulated-body kernel, eval every 32",4,41656,64,8,3
16,"articulated-body kernel, eval every 32",8,80582,64,8,3
16,"articulated-body kernel, eval every 32",16,171289,64,8,3
