k,config,n,steps_per_sec,iters,warmup,repeats
8,"metal kernel, eval every step",32768,53864629,64,8,3
8,"metal kernel, eval every step",65536,66992922,64,8,3
8,"metal kernel, eval every 32",1,9192,64,8,3
8,"metal kernel, eval every 32",2,18584,64,8,3
8,"metal kernel, eval every 32",4,37704,64,8,3
8,"metal kernel, eval every 32",8,74994,64,8,3
8,"metal kernel, eval every 32",16,149463,64,8,3
8,"metal kernel, eval every 32",32,295639,64,8,3
8,"metal kernel, eval every 32",64,606182,64,8,3
8,"metal kernel, eval every 32",128,1092558,64,8,3
8,"metal kernel, eval every 32",256,2185760,64,8,3
8,"metal kernel, eval every 32",512,4317520,64,8,3
8,"metal kernel, eval every 32",1024,9255572,64,8,3
8,"metal kernel, eval every 32",2048,18563903,64,8,3
8,"metal kernel, eval every 32",4096,35684663,64,8,3
8,"metal kernel, eval every 32",8192,63294963,64,8,3
8,"metal kernel, eval every 32",16384,75412481,64,8,3
8,"metal kernel, eval every 32",32768,83829217,64,8,3
8,"metal kernel, eval every 32",65536,90046055,64,8,3
16,numpy,1,534,64,8,3
16,numpy,2,1059,64,8,3
16,numpy,4,2074,64,8,3
16,numpy,8,4086,64,8,3
16,numpy,16,7940,64,8,3
16,numpy,32,15675,64,8,3
16,numpy,64,28830,64,8,3
16,numpy,128,52721,64,8,3
16,numpy,256,80138,64,8,3
16,numpy,512,111322,64,8,3
16,numpy,1024,142318,64,8,3
16,numpy,2048,160752,64,8,3
16,numpy,4096,166508,64,8,3
16,numpy,8192,166783,64,8,3
16,numpy,16384,127714,64,8,3
16,numpy,32768,146482,64,8,3
16,numpy,65536,152066,64,8,3
16,"mlx compiled, eval every step",1,243,64,8,3
16,"mlx compiled, eval every step",2,483,64,8,3
16,"mlx compiled, eval every step",4,967,64,8,3
16,"mlx compiled, eval every step",8,1895,64,8,3
16,"mlx compiled, eval every step",16,3842,64,8,3
16,"mlx compiled, eval every step",32,7406,64,8,3
16,"mlx compiled, eval every step",64,14133,64,8,3
16,"mlx compiled, eval every step",128,28122,64,8,3
16,"mlx compiled, eval every step",256,54981,64,8,3
16,"mlx compiled, eval every step",512,107265,64,8,3
16,"mlx compiled, eval every step",1024,214555,64,8,3
16,"mlx compiled, eval every step",2048,419865,64,8,3
16,"mlx compiled, eval every step",4096,836997,64,8,3
16,"mlx compiled, eval every step",8192,1734925,64,8,3
16,"mlx compiled, eval every step",16384,2296015,64,8,3
16,"mlx compiled, eval every step",32768,2178504,64,8,3
16,"mlx compiled, eval every step",65536,2013155,64,8,3
16,"mlx compiled, eval every 32",1,198,64,8,3
16,"mlx compiled, eval every 32",2,382,64,8,3
16,"mlx compiled, eval every 32",4,747,64,8,3
16,"mlx compiled, eval every 32",8,1432,64,8,3
16,"mlx compiled, eval every 32",16,2928,64,8,3
16,"mlx compiled, eval every 32",32,5285,64,8,3
16,"mlx compiled, eval every 32",64,10319,64,8,3
16,"mlx compiled, eval every 32",128,20713,64,8,3
16,"mlx compiled, eval every 32",256,41830,64,8,3
16,"mlx compiled, eval every 32",512,83043,64,8,3
16,"mlx compiled, eval every 32",1024,164945,64,8,3
16,"mlx compiled, eval every 32",2048,335735,64,8,3
16,"mlx compiled, eval every 32",4096,681070,64,8,3
16,"mlx compiled, eval every 32",8192,1437871,64,8,3
16,"mlx compiled, eval every 32",16384,2349730,64,8,3
16,"mlx compiled, eval every 32",32768,2310646,64,8,3
16,"mlx compiled, eval every 32",65536,2079911,64,8,3
16,"metal kernel, eval every step",1,1570,64,8,3
16,"metal kernel, eval every step",2,3052,64,8,3
16,"metal kernel, eval every step",4,6114,64,8,3
16,"metal kernel, eval every step",8,12838,64,8,3
16,"metal kernel, eval every step",16,24826,64,8,3
16,"metal kernel, eval every step",32,50670,64,8,3
16,"metal kernel, eval every step",64,94348,64,8,3
16,"metal kernel, eval every step",128,195568,64,8,3
16,"metal kernel, eval every step",256,333856,64,8,3
16,"metal kernel, eval every step",512,670903,64,8,3
16,"metal kernel, eval every step",1024,1332264,64,8,3
16,"metal kernel, eval every step",2048,2686594,64,8,3
16,"metal kernel, eval every step",4096,5370684,64,8,3
16,"metal kernel, eval every step",8192,7833578,64,8,3
16,"metal kernel, eval every step",16384,9262129,64,8,3
16,"metal kernel, eval every step",32768,10370840,64,8,3
16,"metal kernel, eval every step",65536,11365184,64,8,3
16,"metal kernel, eval every 32",1,2429,64,8,3
16,"metal kernel, eval every 32",2,4819,64,8,3
16,"metal kernel, eval every 32",4,10003,64,8,3
16,"metal kernel, eval every 32",8,19956,64,8,3
16,"metal kernel, eval every 32",16,39769,64,8,3
16,"metal kernel, eval every 32",32,78747,64,8,3
16,"metal kernel, eval every 32",64,158291,64,8,3
16,"metal kernel, eval every 32",128,309549,64,8,3
16,"metal kernel, eval every 32",256,504520,64,8,3
16,"metal kernel, eval every 32",512,1011212,64,8,3
16,"metal kernel, eval every 32",1024,1969643,64,8,3
16,"metal kernel, eval every 32",2048,3854539,64,8,3
16,"metal kernel, eval every 32",4096,6922931,64,8,3
16,"metal kernel, eval every 32",8192,9164659,64,8,3
16,"metal kernel, eval every 32",16384,10378451,64,8,3
16,"metal kernel, eval every 32",32768,11330496,64,8,3
16,"metal kernel, eval every 32",65536,11990852,64,8,3
